State,Region,Uses (Permitted and Conditional),Required Spaces
IL,Waukegan,"Dairy products, processing and manufacturing","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Electric substation,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Electronic, scientific and precision instrument manufacturing","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Electroplating,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Feed mills,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Feed and seed store,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Food manufacturing, packaging and processing","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Foundries and forge plants,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Fuel and ice plants,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Fuels, solid or liquid, storage and wholesale distribution","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Fur processing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Gas regulator station,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Glass products, production and sales","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Grain storage and processing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Graphite products manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Gypsum products manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Heavy machinery manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Insulating material manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Laundry or dry cleaning plant,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Leather tanning and curing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Light machinery production: Appliances and business machines,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Linen supply,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Linoleum manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Machine shop,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Meat packing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Metal reduction and refinement,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Metal stamping,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Mining operations,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Musical instrument manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
